Split,Arm,Method,BudgetK,MetricName,Numerator,Denominator,ExactFractionOrFormula,DecimalValue,ReportedPercentageOrScore
held_out,B3,R3,8,Mean First Target Rank,16,12,16/12,1.3333333333333333,1.33
held_out,B3,R3,8,Final Accepted Target Recall,11.625,12,11.6250/12,0.96875,96.9%
held_out,B3,R3,8,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B3,R3,8,Mean Candidate Tokens,29321,12,29321/12,2443.4166666666665,2443.4
held_out,B3,R3,8,Mean Prompt Tokens,30497,12,30497/12,2541.4166666666665,2541.4
held_out,B4,R0,3,Recall@K,12,12,12/12,1.0,100.0%
held_out,B4,R0,3,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B4,R0,3,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B4,R0,3,Final Accepted Target Recall,10.875,12,10.8750/12,0.90625,90.6%
held_out,B4,R0,3,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B4,R0,3,Mean Candidate Tokens,14355,12,14355/12,1196.25,1196.2
held_out,B4,R0,3,Mean Prompt Tokens,17295,12,17295/12,1441.25,1441.2
held_out,B4,R0,5,Recall@K,12,12,12/12,1.0,100.0%
held_out,B4,R0,5,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B4,R0,5,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B4,R0,5,Final Accepted Target Recall,11.625,12,31/32 (11*1.0 + 5/8)/12,0.96875,96.9%
held_out,B4,R0,5,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B4,R0,5,Mean Candidate Tokens,23955,12,23955/12,1996.25,1996.2
held_out,B4,R0,5,Mean Prompt Tokens,24713,12,24713/12,2059.4166666666665,2059.4
held_out,B4,R0,8,Recall@K,12,12,12/12,1.0,100.0%
held_out,B4,R0,8,HN Presence Rate,11,12,11/12,0.9166666666666666,91.7%
held_out,B4,R0,8,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B4,R0,8,Final Accepted Target Recall,11.625,12,11.6250/12,0.96875,96.9%
